Asset_ID,MUTCD_Code,Description,Sign_Category,Legend_Text,Latitude,Longitude,Road_Name,Intersection_With,Condition_Rating,Status,Install_Date,Sheeting_Type,Sheeting_Manufacturer,Facing_Direction,Side_of_Road,Mount_Height,Measured_Value,Passes_Minimum,Replacement_Cost,Support_Tag,Support_Type,Support_Material,Support_Height_Inches,Support_Condition,Support_Status,Support_Install_Date
SGN-0039,D1-1,Street Name Sign,guide,9TH ST,39.786173,-89.635124,Bruns Ln,9th St,5,active,01/05/2025,Type III,,270,E,85,,,,SUP-0017,u_channel,galvanized_steel,84,5,active,01/05/2025
SGN-0040,R2-1,Speed Limit,regulatory,SPEED LIMIT 30,39.791548,-89.633866,Glenwood Ave,Martin Luther King Dr,3,active,05/24/2017,Type I,,270,E,90,,,,SUP-0018,square_tube,aluminum,76,4,active,05/24/2017
SGN-0041,D1-1,Street Name Sign,guide,MARTIN LUTHER KING DR,39.791548,-89.633866,Glenwood Ave,Martin Luther King Dr,4,active,09/07/2019,Type III,Avery Dennison,180,N,84,,,,SUP-0018,square_tube,aluminum,76,4,active,05/24/2017
SGN-0042,R2-1,Speed Limit,regulatory,SPEED LIMIT 30,39.763076,-89.643981,Wabash Ave,Stanford Ave,5,damaged,02/20/2025,Type XI,3M,0,S,80,,,,SUP-0019,wall_mount,aluminum,92,5,active,02/20/2025
SGN-0043,D1-1,Street Name Sign,guide,STANFORD AVE,39.763076,-89.643981,Wabash Ave,Stanford Ave,5,active,02/20/2025,Type IX,3M,180,N,80,,,,SUP-0019,wall_mount,aluminum,92,5,active,02/20/2025
SGN-0044,R1-1,STOP,regulatory,STOP,39.789549,-89.642349,Clear Lake Ave,Toronto Rd,5,faded,09/06/2024,Type III,,0,S,82,194,true,,SUP-0020,square_tube,aluminum,81,5,active,09/06/2024
SGN-0045,D1-1,Street Name Sign,guide,TORONTO RD,39.789549,-89.642349,Clear Lake Ave,Toronto Rd,4,active,09/25/2025,Type IX,Avery Dennison,0,S,87,,,,SUP-0020,square_tube,aluminum,81,5,active,09/06/2024
SGN-0046,W14-1,Dead End / No Outlet,warning,,39.804797,-89.647570,Veterans Pkwy,Chatham Rd,4,active,07/05/2025,Type XI,Avery Dennison,270,E,82,,,,SUP-0021,square_tube,aluminum,76,5,damaged,07/05/2025
SGN-0047,D1-1,Street Name Sign,guide,CHATHAM RD,39.804797,-89.647570,Veterans Pkwy,Chatham Rd,5,missing,07/05/2025,Type XI,Avery Dennison,180,N,88,,,,SUP-0021,square_tube,aluminum,76,5,damaged,07/05/2025
SGN-0048,R1-1,STOP,regulatory,STOP,39.762661,-89.601280,South Grand Ave,Edwards St,5,damaged,04/27/2025,Type III,3M,180,N,84,,,,SUP-0022,square_tube,aluminum,83,4,damaged,04/27/2025
SGN-0049,D1-1,Street Name Sign,guide,EDWARDS ST,39.762661,-89.601280,South Grand Ave,Edwards St,5,active,04/27/2025,Type XI,3M,270,E,84,788,true,,SUP-0022,square_tube,aluminum,83,4,damaged,04/27/2025
SGN-0050,R1-1,STOP,regulatory,STOP,39.835089,-89.672575,Veterans Pkwy,Ash St,5,active,04/23/2024,Type XI,3M,90,W,83,,,,SUP-0023,mast_arm,galvanized_steel,203,4,active,05/17/2022
SGN-0051,R1-3,Multi-Way Stop Plaque,regulatory,,39.835089,-89.672575,Veterans Pkwy,Ash St,5,active,05/17/2022,Type III,3M,180,N,79,,,,SUP-0023,mast_arm,galvanized_steel,203,4,active,05/17/2022
SGN-0052,R1-1,STOP,regulatory,STOP,39.823461,-89.646018,Ash St,Lawrence Ave,3,active,03/26/2021,Type III,Avery Dennison,0,S,83,,,,SUP-0024,u_channel,aluminum,89,4,active,03/26/2021
SGN-0053,D1-1,Street Name Sign,guide,LAWRENCE AVE,39.823461,-89.646018,Ash St,Lawrence Ave,4,active,03/26/2021,Type XI,3M,270,E,83,,,,SUP-0024,u_channel,aluminum,89,4,active,03/26/2021
SGN-0054,R1-1,STOP,regulatory,STOP,39.798588,-89.646154,6th St,11th St,3,active,03/13/2018,Type IX,Avery Dennison,90,W,83,,,,SUP-0025,square_tube,aluminum,87,2,leaning,03/13/2018
SGN-0055,D1-1,Street Name Sign,guide,11TH ST,39.798588,-89.646154,6th St,11th St,4,removed,03/13/2018,Type III,3M,0,S,83,,,,SUP-0025,square_tube,aluminum,87,2,leaning,03/13/2018
SGN-0056,R1-1,STOP,regulatory,STOP,39.821051,-89.644287,White Oaks Ln,Bruns Ln,5,damaged,11/28/2018,Type III,3M,0,S,85,159,true,,SUP-0026,square_tube,aluminum,83,4,active,11/28/2018
SGN-0057,R1-3,Multi-Way Stop Plaque,regulatory,,39.821051,-89.644287,White Oaks Ln,Bruns Ln,2,faded,11/28/2018,Type III,3M,270,E,86,,,193,SUP-0026,square_tube,aluminum,83,4,active,11/28/2018
SGN-0058,R6-1,One Way (arrow),regulatory,ONE WAY,39.798699,-89.645169,11th St,5th St,3,active,04/21/2023,Type XI,3M,180,N,81,,,,SUP-0027,u_channel,aluminum,89,4,active,04/21/2023
SGN-0059,R5-1,Do Not Enter,regulatory,DO NOT ENTER,39.798699,-89.645169,11th St,5th St,2,active,04/21/2023,Type XI,3M,180,N,87,,,227,SUP-0027,u_channel,aluminum,89,4,active,04/21/2023
SGN-0060,W14-1,Dead End / No Outlet,warning,,39.763137,-89.642998,Glenwood Ave,5th St,3,active,05/15/2021,Type III,3M,180,N,87,,,,SUP-0028,square_tube,aluminum,86,4,damaged,05/15/2021
SGN-0061,D1-1,Street Name Sign,guide,5TH ST,39.763137,-89.642998,Glenwood Ave,5th St,4,active,05/15/2021,Type XI,3M,270,E,79,,,,SUP-0028,square_tube,aluminum,86,4,damaged,05/15/2021
SGN-0062,R1-1,STOP,regulatory,STOP,39.811304,-89.629254,Walnut St,Jefferson St,2,active,02/25/2021,Type XI,,270,E,91,,,292,SUP-0029,u_channel,galvanized_steel,81,3,active,02/25/2021
SGN-0063,R1-3,Multi-Way Stop Plaque,regulatory,,39.811304,-89.629254,Walnut St,Jefferson St,4,active,10/25/2025,Type III,,180,N,80,,,,SUP-0029,u_channel,galvanized_steel,81,3,active,02/25/2021
SGN-0064,R1-1,STOP,regulatory,STOP,39.805800,-89.642017,Spring St,Rutledge St,4,active,01/02/2019,Type IX,Avery Dennison,0,S,88,,,,SUP-0030,square_tube,aluminum,77,3,active,01/02/2019
SGN-0065,R1-3,Multi-Way Stop Plaque,regulatory,,39.805800,-89.642017,Spring St,Rutledge St,3,active,07/22/2021,Type XI,,90,W,89,,,,SUP-0030,square_tube,aluminum,77,3,active,01/02/2019
SGN-0066,D1-1,Street Name Sign,guide,RUTLEDGE ST,39.805800,-89.642017,Spring St,Rutledge St,2,faded,01/02/2019,Type III,3M,270,E,83,,,122,SUP-0030,square_tube,aluminum,77,3,active,01/02/2019
SGN-0067,D1-1,Street Name Sign,guide,RUTLEDGE ST,39.805800,-89.642017,Spring St,Rutledge St,3,faded,01/02/2019,Type I,Avery Dennison,180,N,85,,,,SUP-0030,square_tube,aluminum,77,3,active,01/02/2019
SGN-0068,R7-8,No Parking Any Time,regulatory,NO PARKING ANY TIME,39.800434,-89.644906,6th St,Spring St,5,active,12/25/2021,Type XI,Avery Dennison,0,S,86,622,true,,SUP-0031,square_tube,aluminum,91,3,active,12/25/2021
SGN-0069,D1-1,Street Name Sign,guide,SPRING ST,39.800434,-89.644906,6th St,Spring St,4,active,11/13/2023,Type III,Avery Dennison,90,W,80,,,,SUP-0031,square_tube,aluminum,91,3,active,12/25/2021
SGN-0070,R1-1,STOP,regulatory,STOP,39.826787,-89.676268,J David Jones Pkwy,Bruns Ln,5,faded,08/22/2024,Type IX,,180,N,86,,,,SUP-0032,mast_arm,steel,164,5,active,04/25/2020
SGN-0071,D1-1,Street Name Sign,guide,BRUNS LN,39.826787,-89.676268,J David Jones Pkwy,Bruns Ln,3,active,04/25/2020,Type III,3M,0,S,87,,,,SUP-0032,mast_arm,steel,164,5,active,04/25/2020
SGN-0072,R1-1,STOP,regulatory,STOP,39.834336,-89.598299,Chatham Rd,Edwards St,4,active,12/05/2022,Type XI,Avery Dennison,90,W,84,,,,SUP-0033,u_channel,galvanized_steel,87,5,active,03/28/2021
SGN-0073,D1-1,Street Name Sign,guide,EDWARDS ST,39.834336,-89.598299,Chatham Rd,Edwards St,4,obscured,03/28/2021,Type I,,180,N,86,,,,SUP-0033,u_channel,galvanized_steel,87,5,active,03/28/2021
SGN-0074,R1-1,STOP,regulatory,STOP,39.796998,-89.641734,Edwards St,Adams St,5,active,07/19/2024,Type III,3M,0,S,84,242,true,,SUP-0034,square_tube,aluminum,76,5,active,07/19/2024
SGN-0075,R1-3,Multi-Way Stop Plaque,regulatory,,39.796998,-89.641734,Edwards St,Adams St,5,active,07/19/2024,Type IX,3M,270,E,93,368,true,,SUP-0034,square_tube,aluminum,76,5,active,07/19/2024
SGN-0076,R1-1,STOP,regulatory,STOP,39.808109,-89.626558,Rutledge St,2nd St,5,active,06/09/2023,Type IX,Avery Dennison,90,W,89,,,,SUP-0035,square_tube,galvanized_steel,83,2,active,06/09/2023
SGN-0077,D1-1,Street Name Sign,guide,2ND ST,39.808109,-89.626558,Rutledge St,2nd St,4,damaged,06/09/2023,Type XI,Avery Dennison,180,N,88,,,,SUP-0035,square_tube,galvanized_steel,83,2,active,06/09/2023
SGN-0078,R1-1,STOP,regulatory,STOP,39.795400,-89.641907,2nd St,Walnut St,4,active,01/11/2023,Type XI,3M,270,E,84,,,,SUP-0036,square_tube,aluminum,82,5,active,01/11/2023
SGN-0079,R1-3,Multi-Way Stop Plaque,regulatory,,39.795400,-89.641907,2nd St,Walnut St,4,active,01/11/2023,Type IX,,0,S,87,,,,SUP-0036,square_tube,aluminum,82,5,active,01/11/2023
SGN-0080,D1-1,Street Name Sign,guide,WALNUT ST,39.795400,-89.641907,2nd St,Walnut St,5,active,01/11/2023,Type III,3M,0,S,91,,,,SUP-0036,square_tube,aluminum,82,5,active,01/11/2023
SGN-0081,R1-1,STOP,regulatory,STOP,39.797841,-89.644830,9th St,Adams St,5,active,11/08/2025,Type III,,270,E,84,,,,SUP-0037,square_tube,aluminum,74,5,active,11/08/2025
SGN-0082,R1-3,Multi-Way Stop Plaque,regulatory,,39.797841,-89.644830,9th St,Adams St,5,active,11/08/2025,Type III,Avery Dennison,90,W,84,,,,SUP-0037,square_tube,aluminum,74,5,active,11/08/2025
SGN-0083,D1-1,Street Name Sign,guide,ADAMS ST,39.797841,-89.644830,9th St,Adams St,5,faded,11/08/2025,Type III,Avery Dennison,0,S,82,,,,SUP-0037,square_tube,aluminum,74,5,active,11/08/2025
SGN-0084,R2-1,Speed Limit,regulatory,SPEED LIMIT 30,39.814162,-89.652650,Martin Luther King Dr,Archer Elevator Rd,5,active,06/05/2024,Type IX,Avery Dennison,90,W,89,,,,SUP-0038,wood,treated_wood,84,5,missing,07/05/2022
SGN-0085,D1-1,Street Name Sign,guide,ARCHER ELEVATOR RD,39.814162,-89.652650,Martin Luther King Dr,Archer Elevator Rd,3,active,07/05/2022,Type XI,Avery Dennison,0,S,86,798,true,,SUP-0038,wood,treated_wood,84,5,missing,07/05/2022
SGN-0086,R2-1,Speed Limit,regulatory,SPEED LIMIT 35,39.750000,-89.611270,South Grand Ave,,5,active,11/27/2024,Type XI,3M,180,N,80,,,,SUP-0039,u_channel,aluminum,89,5,active,11/27/2024
SGN-0087,D1-1,Street Name Sign,guide,SOUTH GRAND AVE,39.750000,-89.611270,South Grand Ave,,5,active,11/27/2024,Type IX,,180,N,91,576,true,,SUP-0039,u_channel,aluminum,89,5,active,11/27/2024
SGN-0088,W14-1,Dead End / No Outlet,warning,,39.768840,-89.644100,Chatham Rd,5th St,5,active,08/01/2017,Type III,Avery Dennison,90,W,92,,,,SUP-0040,u_channel,galvanized_steel,82,3,active,08/01/2017
SGN-0089,D1-1,Street Name Sign,guide,5TH ST,39.768840,-89.644100,Chatham Rd,5th St,2,obscured,08/01/2017,Type I,3M,270,E,81,,,213,SUP-0040,u_channel,galvanized_steel,82,3,active,08/01/2017
SGN-0090,R1-1,STOP,regulatory,STOP,39.804090,-89.638492,Jefferson St,Sangamon Ave,3,active,07/04/2019,Type III,Avery Dennison,90,W,84,,,,SUP-0041,square_tube,galvanized_steel,78,2,leaning,07/04/2019
SGN-0091,R1-3,Multi-Way Stop Plaque,regulatory,,39.804090,-89.638492,Jefferson St,Sangamon Ave,3,damaged,07/04/2019,Type XI,3M,90,W,87,,,,SUP-0041,square_tube,galvanized_steel,78,2,leaning,07/04/2019
SGN-0092,D1-1,Street Name Sign,guide,SANGAMON AVE,39.804090,-89.638492,Jefferson St,Sangamon Ave,1,faded,07/04/2019,Type IX,,0,S,84,,,75,SUP-0041,square_tube,galvanized_steel,78,2,leaning,07/04/2019
SGN-0093,R1-1,STOP,regulatory,STOP,39.765239,-89.674622,Peoria Rd,Dirksen Pkwy,5,active,07/20/2025,Type III,3M,180,N,85,284,true,,SUP-0042,u_channel,galvanized_steel,71,5,active,07/20/2025
SGN-0094,D1-1,Street Name Sign,guide,DIRKSEN PKWY,39.765239,-89.674622,Peoria Rd,Dirksen Pkwy,5,active,07/20/2025,Type XI,,270,E,88,,,,SUP-0042,u_channel,galvanized_steel,71,5,active,07/20/2025
SGN-0095,R1-1,STOP,regulatory,STOP,39.750000,-89.642652,Old Jacksonville Rd,North Grand Ave,3,active,08/29/2017,Type III,3M,0,S,84,,,,SUP-0043,u_channel,galvanized_steel,92,2,leaning,08/29/2017
SGN-0096,R1-3,Multi-Way Stop Plaque,regulatory,,39.750000,-89.642652,Old Jacksonville Rd,North Grand Ave,4,active,08/29/2017,Type III,3M,0,S,83,,,,SUP-0043,u_channel,galvanized_steel,92,2,leaning,08/29/2017
SGN-0097,D1-1,Street Name Sign,guide,NORTH GRAND AVE,39.750000,-89.642652,Old Jacksonville Rd,North Grand Ave,3,replaced,08/29/2017,Type I,3M,0,S,83,,,,SUP-0043,u_channel,galvanized_steel,92,2,leaning,08/29/2017
SGN-0098,R1-1,STOP,regulatory,STOP,39.801904,-89.646877,2nd St,Jefferson St,5,active,09/08/2025,Type IX,Avery Dennison,180,N,82,429,true,,SUP-0044,u_channel,aluminum,91,4,active,02/14/2024
SGN-0099,R1-3,Multi-Way Stop Plaque,regulatory,,39.801904,-89.646877,2nd St,Jefferson St,4,active,02/14/2024,Type XI,3M,180,N,87,,,,SUP-0044,u_channel,aluminum,91,4,active,02/14/2024
SGN-0100,D1-1,Street Name Sign,guide,JEFFERSON ST,39.801904,-89.646877,2nd St,Jefferson St,5,active,02/14/2024,Type III,3M,270,E,79,,,,SUP-0044,u_channel,aluminum,91,4,active,02/14/2024
SGN-0101,W11-2,Pedestrian Crossing,warning,,39.799463,-89.640433,5th St,Washington St,4,removed,01/21/2024,Type IX,Avery Dennison,270,E,85,,,,SUP-0045,u_channel,galvanized_steel,85,5,active,01/21/2024
SGN-0102,R9-7,Pedestrian Crossing,regulatory,,39.799463,-89.640433,5th St,Washington St,3,active,01/21/2024,Type III,3M,0,S,75,,,,SUP-0045,u_channel,galvanized_steel,85,5,active,01/21/2024
SGN-0103,R2-1,Speed Limit,regulatory,SPEED LIMIT 25,39.809830,-89.653779,Stanford Ave,,2,active,10/25/2020,Type III,3M,180,N,75,176,true,342,SUP-0046,wood,wood,93,3,active,10/25/2020
SGN-0104,D1-1,Street Name Sign,guide,STANFORD AVE,39.809830,-89.653779,Stanford Ave,,4,active,10/25/2020,Type IX,Avery Dennison,0,S,89,357,true,,SUP-0046,wood,wood,93,3,active,10/25/2020
SGN-0105,R1-1,STOP,regulatory,STOP,39.796469,-89.641912,Veterans Pkwy,Walnut St,4,active,08/24/2025,Type XI,3M,180,N,86,,,,SUP-0047,square_tube,aluminum,83,5,active,08/24/2025
SGN-0106,D1-1,Street Name Sign,guide,WALNUT ST,39.796469,-89.641912,Veterans Pkwy,Walnut St,5,active,08/24/2025,Type XI,3M,180,N,83,,,,SUP-0047,square_tube,aluminum,83,5,active,08/24/2025
SGN-0107,R1-1,STOP,regulatory,STOP,39.802377,-89.642158,Edwards St,2nd St,5,active,09/26/2022,Type III,3M,0,S,75,,,,SUP-0048,wood,wood,84,5,active,09/26/2022
SGN-0108,R1-3,Multi-Way Stop Plaque,regulatory,,39.802377,-89.642158,Edwards St,2nd St,4,active,09/26/2022,Type III,3M,270,E,86,,,,SUP-0048,wood,wood,84,5,active,09/26/2022
SGN-0109,D1-1,Street Name Sign,guide,2ND ST,39.802377,-89.642158,Edwards St,2nd St,4,active,09/26/2022,Type XI,3M,0,S,83,709,true,,SUP-0048,wood,wood,84,5,active,09/26/2022
SGN-0110,R1-1,STOP,regulatory,STOP,39.827394,-89.617115,Lindbergh Blvd,Clear Lake Ave,2,active,01/05/2021,Type IX,3M,270,E,83,,,78,SUP-0049,u_channel,aluminum,84,3,active,01/05/2021
SGN-0111,R1-3,Multi-Way Stop Plaque,regulatory,,39.827394,-89.617115,Lindbergh Blvd,Clear Lake Ave,3,active,01/05/2021,Type III,3M,0,S,80,,,,SUP-0049,u_channel,aluminum,84,3,active,01/05/2021
SGN-0112,R1-1,STOP,regulatory,STOP,39.800059,-89.647429,11th St,Capitol Ave,2,faded,05/10/2013,Type III,3M,270,E,84,,,172,SUP-0050,u_channel,galvanized_steel,72,3,active,05/10/2013
SGN-0113,D1-1,Street Name Sign,guide,CAPITOL AVE,39.800059,-89.647429,11th St,Capitol Ave,2,faded,05/10/2013,Type I,Avery Dennison,180,N,79,,,162,SUP-0050,u_channel,galvanized_steel,72,3,active,05/10/2013
SGN-0114,R7-8,No Parking Any Time,regulatory,NO PARKING ANY TIME,39.800928,-89.645107,Jefferson St,2nd St,3,active,11/08/2019,Type III,3M,0,S,78,,,,SUP-0051,u_channel,galvanized_steel,88,4,leaning,11/08/2019
SGN-0115,D1-1,Street Name Sign,guide,2ND ST,39.800928,-89.645107,Jefferson St,2nd St,3,active,11/08/2019,Type IX,3M,270,E,80,,,,SUP-0051,u_channel,galvanized_steel,88,4,leaning,11/08/2019
SGN-0116,R1-1,STOP,regulatory,STOP,39.799030,-89.635573,Wabash Ave,Peoria Rd,5,obscured,05/10/2021,Type IX,3M,0,S,87,,,,SUP-0052,u_channel,aluminum,83,4,active,05/10/2021
SGN-0117,R1-3,Multi-Way Stop Plaque,regulatory,,39.799030,-89.635573,Wabash Ave,Peoria Rd,4,active,05/10/2021,Type IX,3M,0,S,87,,,,SUP-0052,u_channel,aluminum,83,4,active,05/10/2021
SGN-0118,D1-1,Street Name Sign,guide,PEORIA RD,39.799030,-89.635573,Wabash Ave,Peoria Rd,4,active,05/10/2021,Type III,3M,180,N,83,,,,SUP-0052,u_channel,aluminum,83,4,active,05/10/2021
